Aberta
Fechada
Aberta
Fechada
Aberta
Fechada
Aberta
Fechada
Aberta
Fechada
Aberta
Fechada2025-06-19 21:06:08;Ligado
2025-06-19 23:21:27;Ligado
2025-06-19 23:21:29;Desligado
2025-06-19 23:22:15;Ligado
2025-06-19 23:22:17;Desligado
2025-06-19 23:22:36;Ligado
2025-06-19 23:22:38;Desligado
2025-06-19 23:25:00;Ligado
2025-06-19 23:25:02;Desligado
2025-06-19 23:25:10;Ligado
2025-06-19 23:25:12;Desligado
2025-06-19 23:25:20;Ligado
2025-06-19 23:25:22;Desligado
2025-06-19 23:26:10;Ligado
2025-06-19 23:26:12;Desligado
2025-06-19 23:27:48;Ligado
2025-06-19 23:27:50;Desligado
2025-06-19 23:28:05;Ligado
2025-06-19 23:28:07;Desligado
2025-06-19 23:28:14;Ligado
2025-06-19 23:28:16;Desligado
2025-06-19 23:28:23;Ligado
2025-06-19 23:28:25;Desligado
2025-06-19 23:28:34;Ligado
2025-06-19 23:28:36;Desligado
2025-06-19 23:28:44;Ligado
2025-06-19 23:28:46;Desligado
2025-06-19 23:28:57;Ligado
2025-06-19 23:28:59;Desligado
2025-06-19 23:29:39;Ligado
2025-06-19 23:29:41;Desligado
2025-06-19 23:30:09;Ligado
2025-06-19 23:30:11;Desligado
2025-06-19 23:30:19;Ligado
2025-06-19 23:30:21;Desligado
2025-06-19 23:30:36;Ligado
2025-06-19 23:30:38;Desligado
2025-06-19 23:31:06;Ligado
2025-06-19 23:31:08;Desligado
2025-06-19 23:31:17;Ligado
2025-06-19 23:31:19;Desligado
2025-06-19 23:48:03;Ligado
2025-06-19 23:48:05;Desligado
2025-06-19 23:48:20;Ligado
2025-06-19 23:48:22;Desligado
2025-06-21 19:40:49;Ligado
2025-06-21 19:40:51;Desligado
2025-06-21 19:41:03;Desligado
2025-06-21 19:41:04;Ligado
2025-06-21 19:41:12;Desligado
2025-06-19 23:53:26;Ligado
2025-06-19 23:53:28;Desligado
2025-06-20 00:02:40;Ligado
2025-06-20 00:02:42;Desligado
2025-06-20 00:14:51;Ligado
2025-06-20 00:14:53;Desligado
2025-06-20 00:15:03;Ligado
2025-06-20 00:15:05;Desligado
2025-06-20 00:19:32;Ligado
2025-06-20 00:19:34;Desligado
2025-06-20 00:20:48;Ligado
2025-06-20 00:20:50;Desligado
2025-06-20 00:26:11;Ligado
2025-06-20 00:26:13;Desligado
2025-06-20 00:37:53;Ligado
2025-06-20 00:37:55;Desligado
